star_id,star_name,teff_k,mass_solar,radius_solar,metallicity_fe_h,distance_pc,ra_deg,dec_deg,num_planets
1,2MASS J02192210-3925225,3064.0,0.108,0.281,,,34.8427046,-39.4230767,1
2,55 Cnc,5172.0,0.905,0.943,0.35,12.5855,133.1468373,28.3298154,7
3,BD+60 1417,4993.0,1.0,0.797,,44.9543,190.8875453,60.0143636,1
4,BD-14 3065 A,6935.0,1.41,2.35,-0.34,589.423,153.6696689,-15.6428372,1
5,CFHTWIR-Oph 98 A,2320.0,0.0147,0.245,,,246.934277,-23.98115,1
6,CT Cha,,,,,190.72,166.0375038,-76.4553693,1
7,CoRoT-1,5950.0,0.95,1.11,-0.3,787.909,102.0798591,-3.1021394,1
8,CoRoT-10,5075.0,0.89,0.79,0.26,338.386,291.0636813,0.7460143,1
9,CoRoT-11,6440.0,1.27,1.37,-0.03,655.037,280.6872998,5.9376586,1
10,CoRoT-12,5675.0,1.078,1.116,0.16,1126.37,100.7656871,-1.2964437,1
11,CoRoT-13,5945.0,1.09,1.01,0.01,1148.93,102.7211432,-5.0864557,1
12,CoRoT-14,6035.0,1.13,1.21,0.05,1744.6,103.4242023,-5.5360385,1
13,CoRoT-16,5650.0,1.098,1.19,0.19,732.409,278.5246658,-6.0026026,1
14,CoRoT-17,5740.0,1.04,1.59,0.0,1176.12,278.699236,-6.612288,1
15,CoRoT-18,5440.0,0.95,1.0,-0.1,764.889,98.1724172,-0.0316045,1
16,CoRoT-19,6090.0,1.21,1.65,-0.02,790.663,97.0335983,-0.1707293,1
17,CoRoT-2,5625.0,0.96,0.906,,213.283,291.7770457,1.3836634,1
18,CoRoT-21,6200.0,1.29,1.95,0.0,,101.0526207,-0.2991544,1
19,CoRoT-22,5939.0,1.099,1.136,0.17,627.158,280.6671392,6.2191669,1
20,CoRoT-23,5900.0,1.14,1.61,0.05,1060.97,279.7826586,4.3577516,1
21,CoRoT-24,4950.0,0.91,0.86,0.3,591.555,101.922543,-3.7192892,2
22,CoRoT-25,6040.0,1.09,1.19,-0.01,1103.48,280.6296561,6.5138223,1
23,CoRoT-26,5590.0,1.09,1.79,0.01,1045.18,279.7504991,6.9697828,1
24,CoRoT-27,5900.0,1.05,1.08,-0.1,1010.28,278.4958319,5.5383811,1
25,CoRoT-28,5150.0,1.01,1.78,0.15,766.183,278.6883216,5.5736911,1
26,CoRoT-29,5260.0,0.97,0.9,0.2,806.507,278.9020691,6.4795703,1
27,CoRoT-30,5650.0,0.98,0.91,0.02,1032.23,277.6011767,6.8359338,1
28,CoRoT-31,5700.0,1.25,2.15,0.0,2005.76,94.820735,-4.4222978,1
29,CoRoT-32,5970.0,1.08,0.79,0.0,576.683,100.1951714,9.2573953,1
30,CoRoT-35,6390.0,1.01,1.65,-0.5,1123.21,289.3143526,-2.7747085,1
31,CoRoT-36,6730.0,1.32,1.52,-0.1,925.958,277.7510149,7.1833465,1
32,CoRoT-4,6190.0,1.16,1.17,,726.412,102.1946233,-0.6727861,1
33,CoRoT-5,6100.0,1.0,1.186,-0.25,882.472,101.2772396,0.8152163,1
34,CoRoT-6,6090.0,1.05,1.025,-0.2,645.294,281.0725563,6.6632062,1
35,CoRoT-8,5080.0,0.88,0.77,0.3,322.037,291.5885696,1.4262972,1
36,CoRoT-9,5625.0,0.96,0.96,-0.01,412.98,280.7866461,6.2040783,1
37,EPIC 201595106,5679.0,0.958,0.98,0.01,232.1,183.7203635,1.9681688,2
38,EPIC 220674823,5578.0,0.913,0.99,-0.005,244.59,13.0800239,10.7947051,2
39,EPIC 229004835,5868.0,0.97,0.999,-0.12,121.971,186.4860415,-1.4047214,1
40,EPIC 246851721,6202.0,1.317,1.586,0.141,372.632,78.9198197,16.2786991,1
41,EPIC 248847494,4898.0,0.9,2.7,-0.23,551.886,159.3890808,11.8427484,1
42,EPIC 249893012,5430.0,1.05,1.71,0.2,321.296,228.2482353,-16.7246474,3
43,G 9-40,3395.0,0.2952,0.3026,-0.07,27.9276,134.7188514,21.0747961,1
44,GJ 1132,3229.0,0.1945,0.2211,-0.17,12.613,153.7090696,-47.1549358,2
45,GJ 1214,3101.0,0.182,0.2162,0.24,14.6427,258.8313991,4.9606795,1
46,GJ 143,4640.0,0.73,0.695,0.003,16.32,51.7501882,-63.500166,2
47,GJ 3090,3556.0,0.519,0.516,-0.06,22.4751,20.4384281,-46.7147234,1
48,GJ 3470,3600.0,0.539,0.547,0.2,29.4214,119.7735021,15.391209,1
49,GJ 3473,3347.0,0.36,0.364,0.11,27.3644,120.5936065,3.3371629,2
50,GJ 367,3522.0,0.455,0.458,-0.01,9.41263,146.121464,-45.7790165,3
51,GJ 3929,3384.0,0.313,0.32,-0.02,15.8095,239.5775678,35.4081141,2
52,GJ 414 A,4120.0,0.65,0.68,0.24,11.8893,167.7745044,30.4451688,2
53,GJ 486,3317.0,0.312,0.3243,-0.15,8.07426,191.981531,9.7494181,1
54,GJ 806,3600.0,0.413,0.4144,-0.28,12.0445,311.2697002,44.5002351,2
55,GJ 9827,4236.0,0.62,0.58,-0.29,29.661,351.7717763,-1.2853435,3
56,GPX-1,7000.0,1.68,1.56,0.35,655.013,38.3691648,56.025708,1
57,GQ Lup,,0.7,,,151.169,237.3003643,-35.6515055,1
58,GU Psc,,0.325,,0.1,47.5501,18.146485,17.0650029,1
59,Gaia-1,5470.0,0.949,0.952,,363.66,90.6436658,-0.5771099,1
60,Gaia-2,5720.0,1.0,1.064,,209.229,110.7353308,67.2526565,1
61,Gliese 12,3296.0,0.2414,0.2617,-0.32,12.21,3.9579137,13.5576175,1
62,HAT-P-1,5980.0,1.151,1.174,0.13,158.979,344.4453632,38.674919,1
63,HAT-P-12,4650.0,0.733,0.701,-0.29,142.751,209.3886452,43.49331,1
64,HAT-P-16,6158.0,1.218,1.237,0.17,226.637,9.5730343,42.4630961,1
65,HAT-P-18,4803.0,0.77,0.749,0.1,161.4,256.346376,33.0123251,1
66,HAT-P-19,4962.0,0.807,0.773,0.166,202.078,9.5165832,34.7114025,1
67,HAT-P-20,4595.0,0.756,0.694,0.35,71.0374,111.9164295,24.3361185,1
68,HAT-P-23,5905.0,1.13,1.203,0.15,364.813,306.1239076,16.7621462,1
69,HAT-P-25,5519.0,1.012,0.919,0.294,300.384,48.4354731,25.1973548,1
70,HAT-P-27,5316.0,0.916,0.864673,0.3,199.173,222.7673221,5.9473626,1
71,HAT-P-28,5680.0,1.025,1.103,0.12,401.319,13.0009159,34.728402,1
72,HAT-P-32,6001.0,1.132,1.367,-0.16,289.205,31.0427614,46.6878512,1
73,HAT-P-34,6442.0,1.392,1.53,0.22,249.325,303.1954355,18.1047776,1
74,HAT-P-35,6096.0,1.236,1.435,0.11,506.965,123.250703,4.7870288,1
75,HAT-P-36,5620.0,1.03,1.041,,294.419,188.2662048,44.9153672,1
76,HAT-P-37,5500.0,0.929,0.877,0.03,390.594,284.2960393,51.2691212,1
77,HAT-P-38,5330.0,0.886,0.923,0.06,255.206,35.3834942,32.2460441,1
78,HAT-P-39,6430.0,1.404,1.625,0.19,697.004,113.7582526,17.8300283,1
79,HAT-P-4,5860.0,1.248,1.596,,320.451,229.99122,36.229545,1
80,HAT-P-42,5743.0,1.178,1.53,0.27,405.238,135.3443583,6.0970828,1
81,HAT-P-44,5295.0,0.942,0.949,0.33,347.85,213.1438604,47.0147826,2
82,HAT-P-45,6330.0,1.259,1.319,0.07,298.64,274.3732697,-3.3810594,1
83,HAT-P-46,6120.0,1.284,1.396,0.3,290.736,270.4441831,-2.97098,1
84,HAT-P-50,6280.0,1.273,1.698,-0.18,515.458,118.0634379,12.1393474,1
85,HAT-P-51,5453.0,0.961,0.995,0.302,440.089,21.0651251,32.8107,1
86,HAT-P-52,5131.0,0.887,0.893,0.28,361.155,42.7217412,29.0222492,1
87,HAT-P-53,5956.0,1.093,1.209,0.0,666.802,21.8711012,38.9681137,1
88,HAT-P-54,4390.0,0.645,0.617,-0.127,143.651,99.8979924,25.4824005,1
89,HAT-P-55,5804.0,1.028,1.105,0.003,511.388,264.2735096,25.7311468,1
90,HAT-P-58,6078.0,1.031,1.53,-0.224,515.59,68.8465093,56.8682691,1
91,HAT-P-59,5678.0,1.008,1.1038,0.217,265.471,292.4588212,62.5291892,1
92,HAT-P-60,6212.0,1.435,2.197,0.037,233.22,28.2825719,52.0539209,1
93,HAT-P-61,5587.0,1.004,0.938,0.194,338.84,75.4801665,50.1311784,1
94,HAT-P-62,5629.0,1.023,1.17,0.414,348.815,74.5043816,48.3008551,1
95,HAT-P-63,5400.0,0.925,0.9661,0.251,403.458,269.5720695,5.7613709,1
96,HAT-P-64,6457.0,1.298,1.735,-0.113,651.897,68.9743955,2.4312732,1
97,HAT-P-65,5872.0,1.297,1.666,0.208,738.519,315.9054895,11.9893675,1
98,HAT-P-66,6002.0,1.255,1.881,0.035,935.456,150.5726262,53.9508237,1
99,HAT-P-67,6406.0,1.642,2.546,-0.08,371.686,256.6107279,44.7768849,1
100,HAT-P-68,4508.0,0.6785,0.6701,-0.059,202.152,118.4831501,23.9382192,1
101,HAT-P-69,7394.0,1.648,1.926,-0.069,341.263,130.5056385,3.7105662,1
102,HAT-P-70,8450.0,1.89,1.858,-0.059,330.739,74.5523332,9.9979794,1
103,HAT-P-9,6350.0,1.281,1.338,0.12,455.203,110.1685157,37.1405946,1
104,HATS-1,5870.0,0.986,1.038,-0.06,283.971,175.5252399,-23.3548451,1
105,HATS-10,5880.0,1.101,1.105,0.15,534.889,294.3068385,-22.2044872,1
106,HATS-13,5523.0,0.962,0.887,0.05,421.855,316.9614798,-26.0967205,1
107,HATS-14,5346.0,0.967,0.933,0.33,513.011,313.2154754,-25.6873756,1
108,HATS-15,5311.0,0.871,0.922,0.0,1139.55,311.0920041,-19.4375266,1
109,HATS-16,5738.0,0.97,1.238,-0.1,757.044,358.5588439,-30.0130385,1
110,HATS-17,5846.0,1.131,1.091,0.3,400.331,192.1895676,-47.6136789,1
